,d,v,x,y
star1,9.0,1.0471777735812497,8.939147515696904,1.0448165832383607
star2,9.0,1.0471777735812497,-8.939147515696904,-1.0448165832383607
asteroid1,10.9484758454725,2.8431858956714597,1.7948846763644475,5.44250342294842
asteroid2,8.897060617053778,2.7052758126668266,-7.4516460813469925,-0.4955865854722677
